Genus	Species	ProteomeID	Description	taxaID	ReleaseDate	ProteinCount
Acaryochloris	marina	UP000000268	Acaryochloris marina (strain MBIC 11017)	329726	2015-04-13	8172
Acetobacter	pasteurianus	UP000000948	Acetobacter pasteurianus (strain NBRC 3283 / LMG 1513 / CCTM 1153)	634452	2015-04-13	2906
Acetobacterium	woodii	UP000007177	Acetobacterium woodii (strain ATCC 29683 / DSM 1030 / JCM 2381 / KCTC 1655)	931626	2015-04-10	3445
Acetohalobium	arabaticum	UP000001661	Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288)	574087	2015-04-09	2276
Acholeplasma	laidlawii	UP000008558	Acholeplasma laidlawii (strain PG-8A)	441768	2015-04-09	1380
Achromobacter	xylosoxidans	UP000006876	Achromobacter xylosoxidans (strain A8)	762376	2015-04-09	6798
Acidaminococcus	fermentans	UP000001902	Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4)	591001	2015-04-09	2016
Acidianus	hospitalis	UP000008458	Acidianus hospitalis (strain W1)	933801	2015-04-10	2329
Acidilobus	saccharovorans	UP000000346	Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)	666510	2015-04-09	1499
Acidimicrobium	ferrooxidans	UP000000771	Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP)	525909	2015-06-03	1935
Acidiphilium	cryptum	UP000000245	Acidiphilium cryptum (strain JF-5)	349163	2015-04-13	3521
Acidithiobacillus	ferrooxidans	UP000001856	Acidithiobacillus ferrooxidans (strain ATCC 53993) (Leptospirillum ferrooxidans (ATCC 53993))	380394	2015-04-09	2747
Acidobacterium	capsulatum	UP000002207	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	240015	2015-04-09	3363
Acidothermus	cellulolyticus	UP000008221	Acidothermus cellulolyticus (strain ATCC 43068 / 11B)	351607	2015-05-03	2157
Acidovorax	sp.	UP000000645	Acidovorax sp. (strain JS42)	232721	2015-04-13	4045
Acidovorax	avenae	UP000002482	Acidovorax avenae (strain ATCC 19860 / DSM 7227 / JCM 20985 / NCPPB 1011)	643561	2015-04-09	4718
Acidovorax	citrulli	UP000002596	Acidovorax citrulli (strain AAC00-1) (Acidovorax avenae subsp. citrulli)	397945	2015-04-09	4602
Acidovorax	ebreus	UP000000450	Acidovorax ebreus (strain TPSY) (Diaphorobacter sp. (strain TPSY))	535289	2015-04-09	3461
Aciduliprofundum	boonei	UP000001400	Aciduliprofundum boonei (strain DSM 19572 / T469)	439481	2015-04-09	1539
Acinetobacter	calcoaceticus	UP000007477	Acinetobacter calcoaceticus (strain PHEA-2)	871585	2015-04-09	3598
Acinetobacter	baumannii	UP000002446	Acinetobacter baumannii (strain AYE)	509173	2015-04-09	3652
Acinetobacter	baylyi	UP000000430	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	62977	2015-04-13	3263
Actinobacillus	succinogenes	UP000001114	Actinobacillus succinogenes (strain ATCC 55618 / 130Z)	339671	2015-04-09	2077
Actinobacillus	pleuropneumoniae	UP000008547	Actinobacillus pleuropneumoniae serotype 3 (strain JL03)	434271	2015-04-09	2026
Actinoplanes	sp.	UP000005440	Actinoplanes sp. (strain ATCC 31044 / CBS 674.73 / SE50/110)	134676	2015-05-03	8249
Actinoplanes	missouriensis	UP000007882	Actinoplanes missouriensis (strain ATCC 14538 / DSM 43046 / CBS 188.64 / JCM 3121 / NCIMB 12654 / NBRC 102363 / 431)	512565	2015-05-03	8113
Actinosynnema	mirum	UP000002213	Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / NBRC 14064 / IMRU 3971)	446462	2015-05-03	6912
Acyrthosiphon	pisum	UP000007819	Acyrthosiphon pisum (Pea aphid)	7029	2015-05-10	35819
Aedes	aegypti	UP000008820	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	2015-04-13	16654
Aequorivita	sublithincola	UP000006049	Aequorivita sublithincola (strain DSM 14238 / LMG 21431 / ACAM 643 / 9-3)	746697	2015-04-10	3134
Aeromonas	veronii	UP000000312	Aeromonas veronii (strain B565)	998088	2015-06-04	4009
Aeromonas	hydrophila	UP000000756	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)	380703	2015-04-24	4121
Aeromonas	salmonicida	UP000000225	Aeromonas salmonicida (strain A449)	382245	2015-04-13	4327
Aeropyrum	pernix	UP000002518	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	272557	2015-04-08	1700
Agaricus	bisporus	UP000010818	Agaricus bisporus var. bisporus (strain H97 / ATCC MYA-4626 / FGSC 10389) (White button mushroom)	936046	2015-04-13	10397
Aggregatibacter	aphrophilus	UP000002733	Aggregatibacter aphrophilus (strain NJ8700) (Haemophilus aphrophilus)	634176	2015-04-13	2223
Aggregatibacter	actinomycetemcomitans	UP000002569	Aggregatibacter actinomycetemcomitans serotype C (strain D11S-1) (Actinobacillus actinomycetemcomitans)	668336	2015-04-13	2276
Agrobacterium	vitis	UP000001596	Agrobacterium vitis (strain S4 / ATCC BAA-846) (Rhizobium vitis (strain S4))	311402	2015-04-13	5353
Agrobacterium	radiobacter	UP000001600	Agrobacterium radiobacter (strain K84 / ATCC BAA-868)	311403	2015-04-13	6674
Agrobacterium	sp.	UP000007455	Agrobacterium sp. (strain H13-3) (Rhizobium lupini (strain H13-3))	861208	2015-04-13	5329
Agrobacterium	tumefaciens	UP000000813	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	176299	2015-05-08	5344
Ailuropoda	melanoleuca	UP000008912	Ailuropoda melanoleuca (Giant panda)	9646	2015-05-10	21136
Akkermansia	muciniphila	UP000001031	Akkermansia muciniphila (strain ATCC BAA-835 / Muc)	349741	2015-05-03	2137
Albidiferax	ferrireducens	UP000008332	Rhodoferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Albidiferax ferrireducens)	338969	2015-04-13	4401
Alcanivorax	dieselolei	UP000006286	Alcanivorax dieselolei (strain DSM 16502 / CGMCC 1.3690 / B-5)	930169	2015-05-24	4388
Alcanivorax	borkumensis	UP000008871	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	393595	2015-05-24	2752
Alicyclobacillus	acidocaldarius	UP000001917	Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC 27009 / DSM 446 / JCM 5260 / NBRC 15652 / NCIMB 11725 / NRRL B-14509 / 104-1A) (Bacillus acidocaldarius)	521098	2015-04-13	3059
Aliivibrio	salmonicida	UP000001730	Aliivibrio salmonicida (strain LFI1238) (Vibrio salmonicida (strain LFI1238))	316275	2015-04-13	3513
Alkalilimnicola	ehrlichii	UP000001962	Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1)	187272	2015-04-09	2862
Alkaliphilus	oremlandii	UP000000269	Alkaliphilus oremlandii (strain OhILAs) (Clostridium oremlandii (strain OhILAs))	350688	2015-04-09	2828
Alkaliphilus	metalliredigens	UP000001572	Alkaliphilus metalliredigens (strain QYMF)	293826	2015-04-09	4467
Alteromonas	macleodii	UP000006295	Alteromonas macleodii (strain Black Sea 11)	1004785	2015-04-23	3751
Aminobacterium	colombiense	UP000002366	Aminobacterium colombiense (strain DSM 12261 / ALA-1)	572547	2015-04-09	1872
Amoebophilus	asiaticus	UP000001227	Amoebophilus asiaticus (strain 5a2)	452471	2015-04-13	1253
Amphimedon	queenslandica	UP000007879	Amphimedon queenslandica (Sponge)	400682	2015-05-10	29758
Amycolatopsis	mediterranei	UP000000328	Amycolatopsis mediterranei (strain U-32)	749927	2015-06-04	9204
Amycolicicoccus	subflavus	UP000009235	Amycolicicoccus subflavus (strain DSM 45089 / DQS3-9A1)	443218	2015-05-03	4703
Anabaena	variabilis	UP000002533	Anabaena variabilis (strain ATCC 29413 / PCC 7937)	240292	2015-04-13	5634
Anaerobaculum	mobile	UP000006061	Anaerobaculum mobile (strain ATCC BAA-54 / DSM 13181 / NGA)	891968	2015-04-10	2004
Anaerococcus	prevotii	UP000002294	Anaerococcus prevotii (strain ATCC 9321 / DSM 20548 / JCM 6508 / PC1) (Peptostreptococcus prevotii) (Peptococcus prevotii)	525919	2015-04-13	1795
Anaeromyxobacter	sp.	UP000001871	Anaeromyxobacter sp. (strain K)	447217	2015-04-09	4444
Anaeromyxobacter	dehalogenans	UP000001935	Anaeromyxobacter dehalogenans (strain 2CP-C)	290397	2015-04-09	4345
Anaplasma	phagocytophilum	UP000001943	Anaplasma phagocytophilum (strain HZ)	212042	2015-04-09	1330
Anaplasma	marginale	UP000006557	Anaplasma marginale (strain St. Maries)	234826	2015-06-04	945
Anas	platyrhynchos	UP000016666	Anas platyrhynchos (Mallard) (Anas boschas)	8839	2015-05-10	16377
Anolis	carolinensis	UP000001646	Anolis carolinensis (Green anole) (American chameleon)	28377	2015-05-10	19109
Anopheles	gambiae	UP000007062	Anopheles gambiae (African malaria mosquito)	7165	2015-04-13	13072
Anoxybacillus	flavithermus	UP000000742	Anoxybacillus flavithermus (strain DSM 21510 / WK1)	491915	2015-04-09	2819
Apis	mellifera	UP000005203	Apis mellifera (Honeybee)	7460	2015-05-15	15323
Aquifex	aeolicus	UP000000798	Aquifex aeolicus (strain VF5)	224324	2015-04-13	1553
Arabidopsis	thaliana	UP000006548	Arabidopsis thaliana (Mouse-ear cress)	3702	2015-06-07	31520
Arabidopsis	lyrata	UP000008694	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)	81972	2015-04-10	32113
Arcanobacterium	haemolyticum	UP000000376	Arcanobacterium haemolyticum (strain ATCC 9345 / DSM 20595 / NBRC 15585 / NCTC 8452 / 11018)	644284	2015-05-03	1717
Archaeoglobus	veneficus	UP000008136	Archaeoglobus veneficus (strain DSM 11195 / SNP6)	693661	2015-04-09	2065
Archaeoglobus	fulgidus	UP000002199	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	224325	2015-04-13	2400
Archaeoglobus	profundus	UP000001901	Archaeoglobus profundus (strain DSM 5631 / JCM 9629 / NBRC 100127 / Av18)	572546	2015-04-09	1822
Arcobacter	nitrofigilis	UP000000939	Arcobacter nitrofigilis (strain ATCC 33309 / DSM 7299 / LMG 7604 / NCTC 12251 / CI) (Campylobacter nitrofigilis)	572480	2015-04-09	3125
Arcobacter	butzleri	UP000001136	Arcobacter butzleri (strain RM4018)	367737	2015-04-09	2254
Aromatoleum	aromaticum	UP000006552	Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1))	76114	2015-04-13	4483
Arthrobacter	sp.	UP000000754	Arthrobacter sp. (strain FB24)	290399	2015-05-03	4453
Arthrobacter	arilaitensis	UP000006878	Arthrobacter arilaitensis (strain DSM 16368 / CIP 108037 / JCM 13566 / Re117)	861360	2015-05-03	3380
Arthrobacter	aurescens	UP000000637	Arthrobacter aurescens (strain TC1)	290340	2015-05-03	4565
Arthrobacter	chlorophenolicus	UP000002505	Arthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / JCM 12360 / NCIMB 13794 / A6)	452863	2015-05-03	4587
Ashbya	gossypii	UP000000591	Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Eremothecium gossypii)	284811	2015-04-13	4760
Aspergillus	terreus	UP000007963	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	341663	2015-04-13	10416
Aspergillus	clavatus	UP000006701	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1)	344612	2015-04-13	9140
Aspergillus	flavus	UP000001875	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167)	332952	2015-04-13	13501
Aspergillus	oryzae	UP000006564	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	510516	2015-04-13	12072
